Player_name,Winning_Team,Winning_Margin,Runs_or_Wickets,Season,Country
,,,,,
Trent Boult,NewZealand,1,wicket,2015,New Zealand
,,,,,
Ashton Agar,Australia,8,wickets,2015,Australia
,,,,,
Chris Morris,SouthAfrica,5,wickets,2016,South Africa
,,,,,
Harbhajan Singh,India,46,runs,2009,India
,,,,,
Nikita Miller,WestIndies,6,wickets,2010,West Indies
,,,,,
Dinesh Karthik,SriLanka,139,runs,2009,India
,,,,,
Shabbir Ahmed,Pakistan,58,runs,2003,Pakistan
,,,,,
Rashid Khan,Afghanistan,7,wickets,2018,Afghanistan
,,,,,
Yuzvendra Chahal,India,3,wickets,2018,India
,,,,,
Junaid Khan,Bangladesh,37,runs,2018,Pakistan
,,,,,
Shaheen Afridi,Bangladesh,37,runs,2018,Pakistan
,,,,,
Hasan Ali,Bangladesh,37,runs,2018,Pakistan
,,,,,
Chris Sole,Scotland,53,runs,2016,Scotland
,,,,,
Alasdair Evans,Scotland,53,runs,2016,Scotland
,,,,,
Taskin Ahmed,SriLanka,70,runs,2017,Bangladesh
,,,,,
Miguel Cummins,England,9,wickets,2017,West Indies
,,,,,
Adam Zampa,Australia,20,runs,2019,Australia
,,,,,
Mohammad Hasnain,Australia,6,runs,2019,Pakistan
,,,,,
Nathan Coulter-Nile,Australia,6,runs,2019,Australia
,,,,,
Nathan Lyon,Australia,20,runs,2019,Australia
,,,,,
Mohammad Abbas,Australia,20,runs,2019,Pakistan
,,,,,
Jason Krejza,Australia,7,wickets,2011,Australia
,,,,,
Shaun Tait,Australia,7,wickets,2011,Australia
,,,,,
Brett Lee,Australia,7,wickets,2011,Australia
,,,,,
Cameron White,Australia,7,wickets,2011,Australia
,,,,,
Ricky Ponting,Australia,7,wickets,2011,Australia
,,,,,
Hamish Bennett,Australia,7,wickets,2011,New Zealand
,,,,,
Nathan McCullum,Australia,7,wickets,2011,New Zealand
,,,,,
Jamie How,Australia,7,wickets,2011,New Zealand
,,,,,
Scott Styris,Australia,7,wickets,2011,New Zealand
,,,,,
James Franklin,Australia,7,wickets,2011,New Zealand
,,,,,
Jesse Ryder,Australia,7,wickets,2011,New Zealand
,,,,,
Usman Shinwari,Australia,20,runs,2019,Pakistan
,,,,,
Yasir Shah,Australia,20,runs,2019,Pakistan
,,,,,
Imad Wasim,Australia,20,runs,2019,Pakistan
,,,,,
Saad Ali,Australia,20,runs,2019,Pakistan
,,,,,
Umar Akmal,Australia,20,runs,2019,Pakistan
,,,,,
Mohammad Rizwan,Australia,20,runs,2019,Pakistan
,,,,,
Haris Sohail,Australia,20,runs,2019,Pakistan
,,,,,
Abid Ali,Australia,20,runs,2019,Pakistan
,,,,,
Shan Masood,Australia,20,runs,2019,Pakistan
,,,,,
Kane Richardson,Australia,20,runs,2019,Australia
,,,,,
Jason Behrendorff,Australia,20,runs,2019,Australia
,,,,,
Alex Carey,Australia,20,runs,2019,Australia
,,,,,
Peter Handscomb,Australia,20,runs,2019,Australia
,,,,,
Marcus Stoinis,Australia,20,runs,2019,Australia
,,,,,
Shaun Marsh,Australia,20,runs,2019,Australia
,,,,,
Usman Khawaja,Australia,20,runs,2019,Australia
,,,,,
Alzarri Joseph,England,9,wickets,2017,West Indies
,,,,,
Jerome Taylor,England,9,wickets,2017,West Indies
,,,,,
Liam Plunkett,England,9,wickets,2017,England
,,,,,
Tom Curran,England,9,wickets,2017,England
,,,,,
Jake Ball,England,9,wickets,2017,England
,,,,,
Sunil Ambris,England,9,wickets,2017,West Indies
,,,,,
Jason Mohammed,England,9,wickets,2017,West Indies
,,,,,
Kyle Hope,England,9,wickets,2017,West Indies
,,,,,
Mosaddek Hossain,SriLanka,70,runs,2017,Bangladesh
,,,,,
Shakib Al Hasan,SriLanka,70,runs,2017,Bangladesh
,,,,,
Sabbir Rahman,SriLanka,70,runs,2017,Bangladesh
,,,,,
Tamim Iqbal,SriLanka,70,runs,2017,Bangladesh
,,,,,
Suranga Lakmal,SriLanka,70,runs,2017,Sri Lanka
,,,,,
Dilruwan Perera,SriLanka,70,runs,2017,Sri Lanka
,,,,,
Seekkuge Prasanna,SriLanka,70,runs,2017,Sri Lanka
,,,,,
Tanveer Ahmed,Scotland,53,runs,2016,Hong Kong
,,,,,
Thisara Perera,SriLanka,70,runs,2017,Sri Lanka
,,,,,
Asela Gunaratne,SriLanka,70,runs,2017,Sri Lanka
,,,,,
Milinda Siriwardana,SriLanka,70,runs,2017,Sri Lanka
,,,,,
Dinesh Chandimal,SriLanka,70,runs,2017,Sri Lanka
,,,,,
Nadeem Ahmed,Scotland,53,runs,2016,Hong Kong
,,,,,
Tanwir Afzal,Scotland,53,runs,2016,Hong Kong
,,,,,
Kusal Mendis,SriLanka,70,runs,2017,Sri Lanka
,,,,,
Upul Tharanga,SriLanka,70,runs,2017,Sri Lanka
,,,,,
Waqas Khan,Scotland,53,runs,2016,Hong Kong
,,,,,
Shahid Wasif,Scotland,53,runs,2016,Hong Kong
,,,,,
Ehsan Khan,Scotland,53,runs,2016,Hong Kong
,,,,,
Anshy Rath,Scotland,53,runs,2016,Hong Kong
,,,,,
