Player_name,Batting_style,Bowling_syle,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat_bowl,Inns_bowl,Balls_bowl,Runs_bowl,Wkts_bowl,BBI_bowl,BBM_bowl,Ave_bowl,Econ_bowl,SR_bowl,4w_bowl,5w_bowl,10_bowl
Chris Morris,Right-hand bat,Right-arm fast-medium,39,26,4,451,62,20.50,455,99.12,0,1,35,14,7,0,39,37,1729,1586,44,4/31,4/31,36.04,5.50,39.2,2,0,0
Trent Boult,Right-hand bat,Left-arm fast-medium,83,35,20,144,21*,9.60,190,75.78,0,0,13,6,27,0,83,83,4524,3817,151,7/34,7/34,25.27,5.06,29.9,5,5,0
Ashton Agar,Left-hand bat,Slow left-arm orthodox,9,8,1,144,46,20.57,166,86.74,0,0,17,1,4,0,9,9,432,414,8,2/48,2/48,51.75,5.75,54.0,0,0,0
Nathan Coulter-Nile,Right-hand bat,Right-arm fast,28,15,4,150,34,13.63,120,125.00,0,0,10,10,13,0,28,27,582,802,34,4/31,4/31,23.58,8.26,17.1,1,0,0
Mohammad Talha,Right-hand bat,Right-arm medium-fast,3,1,0,0,0,0,1,0,0,0,0,0,0,0,3,3,122,146,4,2/22,2/22,36.50,7.18,30.5,0,0,0
James Tredwell,Left-hand bat,Right-arm offbreak,45,25,11,163,30,11.64,242,67.35,0,0,9,4,14,0,45,44,2104,1666,60,4/41,4/41,27.76,4.75,35.0,3,0,0
Luke Wright,Right-hand bat,Right-arm medium-fast,51,45,5,759,99*,18.97,554,137.00,0,4,68,31,14,0,51,23,330,465,18,2/24,2/24,25.83,8.45,18.3,0,0,0
Dawlat Zadran,Right-hand bat,Right-arm fast-medium,33,16,7,68,13,7.55,42,161.90,0,0,4,6,7,0,33,33,720,953,39,4/44,4/44,24.43,7.94,18.4,1,0,0
Sharafuddin Ashraf,Right-hand bat,Slow left-arm orthodox,8,4,1,28,18,9.33,29,96.55,0,0,1,1,1,0,8,8,150,201,5,3/27,3/27,40.20,8.04,30.0,0,0,0
Yuzvendra Chahal,Right-hand bat,Legbreak googly,31,3,2,4,3*,4.00,9,44.44,0,0,0,0,7,0,31,31,729,972,46,6/25,6/25,21.13,8.00,15.8,2,1,0
Rashid Khan,Right-hand bat,Legbreak googly,64,49,9,870,60*,21.75,845,102.95,0,4,79,27,20,0,64,60,3138,2141,128,7/18,7/18,16.72,4.09,24.5,4,4,0
Shabbir Ahmed,Right-hand bat,Right-arm fast-medium,32,11,5,10,2,1.66,29,34.48,0,0,0,0,10,0,32,32,1642,1192,33,3/32,3/32,36.12,4.35,49.7,0,0,0
Mujeeb Ur Rahman,Right-hand bat,Right-arm offbreak,33,15,7,55,15,6.87,57,96.49,0,0,6,2,6,0,33,32,1733,1129,52,5/50,5/50,21.71,3.90,33.3,2,1,0
Sulieman Benn,Left-hand bat,Slow left-arm orthodox,47,30,7,182,31,7.91,240,75.83,0,0,19,3,9,0,47,46,2387,1913,39,4/18,4/18,49.05,4.80,61.2,3,0,0
Ian Bradshaw,Left-hand bat,Left-arm fast-medium,62,34,11,287,37,12.47,480,59.79,0,0,18,4,6,0,62,62,3172,2299,78,3/15,3/15,29.47,4.34,40.6,0,0,0
Miguel Cummins,Left-hand bat,Right-arm fast-medium,11,3,1,10,5,5.00,27,37.03,0,0,1,0,1,0,11,9,450,474,9,3/82,3/82,52.66,6.32,50.0,0,0,0
Taskin Ahmed,Left-hand bat,Right-arm fast,32,16,6,41,14,4.10,99,41.41,0,0,2,0,7,0,32,31,1413,1401,45,5/28,5/28,31.13,5.94,31.4,2,1,0
Imam-ul-Haq,Left-hand bat,,32,32,5,1493,151,55.29,1862,80.18,6,6,114,15,6,0,32,-,-,-,-,-,-,-,-,-,-,-,-
Mohammad Hasnain,Right-hand bat,Right-arm fast,1,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,24,29,0,-,-,-,7.25,-,0,0,0
Adam Zampa,Right-hand bat,Legbreak googly,22,6,4,23,9,11.50,26,88.46,0,0,2,0,1,0,22,21,444,447,23,3/16,3/16,19.43,6.04,19.3,0,0,0
Nathan Lyon,Right-hand bat,Right-arm offbreak,25,11,8,69,30,23.00,73,94.52,0,0,7,2,6,0,25,25,1422,1153,26,4/44,4/44,44.34,4.86,54.6,1,0,0
Mohammad Abbas,Right-hand bat,Right-arm medium-fast,3,-,-,-,-,-,-,-,-,-,-,-,0,0,3,3,162,153,1,1/44,1/44,153.00,5.66,162.0,0,0,0
Saad Ali,Left-hand bat,Right-arm medium,58,95,10,3979,232,46.81,7620,52.21,11,18,538,10,63,0,58,16,366,256,3,1/1,1/11,85.33,4.19,122.0,0,0,0
Haris Sohail,Left-hand bat,Slow left-arm orthodox,35,34,5,1328,130,45.79,1599,83.05,2,10,108,18,13,0,35,21,642,613,11,3/45,3/45,55.72,5.72,58.3,0,0,0
Usman Shinwari,Right-hand bat,Left-arm medium-fast,15,3,3,2,2*,-,3,66.66,0,0,0,0,1,0,15,15,282,381,13,3/31,3/31,29.30,8.10,21.6,0,0,0
Yasir Shah,Right-hand bat,Legbreak googly,25,13,6,127,32*,18.14,149,85.23,0,0,9,1,6,0,25,24,1293,1150,24,6/26,6/26,47.91,5.33,53.8,1,1,0
Imad Wasim,Left-hand bat,Slow left-arm orthodox,35,23,9,187,24*,13.35,123,152.03,0,0,18,7,14,0,35,35,780,762,39,5/14,5/14,19.53,5.86,20.0,1,1,0
Abid Ali,Right-hand bat,Legbreak,102,189,14,6700,231*,38.28,13802,48.54,17,31,914,5,83,0,102,7,77,40,2,1/2,1/2,20.00,3.11,38.5,0,0,0
Mohammad Rizwan,Right-hand bat,,32,28,7,705,115,33.57,787,89.58,2,3,61,6,29,1,32,-,-,-,-,-,-,-,-,-,-,-,-
