Player_name,Batting_style,Bowling_syle,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat_bowl,Inns_bowl,Balls_bowl,Runs_bowl,Wkts_bowl,BBI_bowl,BBM_bowl,Ave_bowl,Econ_bowl,SR_bowl,4w_bowl,5w_bowl,10_bowl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junaid Khan,Right-hand bat,Left-arm fast,76,31,17,68,25,4.85,127,53.54,0,0,4,1,8,0,76,76,3601,3216,110,04-Dec,04-Dec,29.23,5.35,32.7,4,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeeb Ur Rahman,Right-hand bat,Right-arm offbreak,33,15,7,55,15,6.87,57,96.49,0,0,6,2,6,0,33,32,1733,1129,52,May-50,May-50,21.71,3.9,33.3,2,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaheen Afridi,Left-hand bat,Left-arm medium,15,7,5,42,19*,21,64,65.62,0,0,2,2,2,0,15,14,701,683,26,Apr-38,Apr-38,26.26,5.84,26.9,3,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuzvendra Chahal,Right-hand bat,Legbreak googly,31,3,2,4,3*,4,9,44.44,0,0,0,0,7,0,31,31,729,972,46,Jun-25,Jun-25,21.13,8,15.8,2,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Amir,Left-hand bat,Left-arm fast,55,29,10,355,73*,18.68,438,81.05,0,2,31,8,6,0,55,54,2689,2141,73,May-30,May-30,29.32,4.77,36.8,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Hasnain,Right-hand bat,Right-arm fast,1,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,24,29,0,-,-,-,7.25,-,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Cummins,Right-hand bat,Right-arm fast,53,31,11,195,36,9.75,280,69.64,0,0,16,3,10,0,53,53,2793,2383,93,May-70,May-70,25.62,5.11,30,5,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhye Richardson,Right-hand bat,Right-arm fast,12,7,2,68,29,13.6,84,80.95,0,0,4,0,4,0,12,12,648,632,24,Apr-26,Apr-26,26.33,5.85,27,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Zampa,Right-hand bat,Legbreak googly,22,6,4,23,9,11.5,26,88.46,0,0,2,0,1,0,22,21,444,447,23,Mar-16,Mar-16,19.43,6.04,19.3,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Najibullah Zadran,Left-hand bat,Right-arm offbreak,50,41,16,764,60*,30.56,542,140.95,0,2,50,39,24,0,50,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faheem Ashraf,Left-hand bat,Right-arm medium,23,15,2,162,28,12.46,195,83.07,0,0,13,6,5,0,23,22,902,744,20,May-22,May-22,37.2,4.94,45.1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Billings,Right-hand bat,,21,18,0,314,87,17.44,221,142.08,0,2,30,11,13,1,21,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Woakes,Right-hand bat,Right-arm fast-medium,93,63,20,1145,95*,26.62,1258,91.01,0,4,81,19,41,0,93,89,4338,4100,130,Jun-45,Jun-45,31.53,5.67,33.3,9,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawlat Zadran,Right-hand bat,Right-arm fast-medium,33,16,7,68,13,7.55,42,161.9,0,0,4,6,7,0,33,33,720,953,39,Apr-44,Apr-44,24.43,7.94,18.4,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miguel Cummins,Left-hand bat,Right-arm fast-medium,11,3,1,10,5,5,27,37.03,0,0,1,0,1,0,11,9,450,474,9,Mar-82,Mar-82,52.66,6.32,50,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jos Buttler,Right-hand bat,,136,112,23,3718,150,41.77,3091,120.28,9,19,310,123,163,30,136,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mosaddek Hossain,Right-hand bat,Right-arm offbreak,30,25,10,470,52*,31.33,538,87.36,0,2,47,11,11,0,30,28,734,626,13,Mar-13,Mar-13,48.15,5.11,56.4,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Holder,Right-hand bat,Right-arm medium-fast,100,80,17,1667,99*,26.46,1764,94.5,0,9,121,53,41,0,100,97,4609,4279,125,May-27,May-27,34.23,5.57,36.8,4,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eoin Morgan,Left-hand bat,Right-arm medium,227,211,31,7226,148,40.14,7901,91.45,13,46,596,211,81,0,227,-,-,-,-,-,-,-,-,-,-,-,-
